% Model:              Gofar_3seg_1e24_1300mpt_GSRM.mph
% Version:            COMSOL 4.2.1.166
% Date:               Nov 8 2019, 17:10
% Dimension:          3
% Nodes:              26741
% Expressions:        3
% Description:        Temperature, differential stress (Pa), overburned pressure
% x             y              z              T (degC)       tau            pressure (Pa)
47750           15000          -7800          1245.157912    5.431544e5     1.75812e8
47750           15000          -6300          1191.433932    8.314081e5     1.42002e8
47750           15000          -6100          1182.644786    8.933278e5     1.37494e8
47750           15000          -6000          1178.250213    9.27274e5      1.3524e8
47750           15000          -5900          1171.634286    9.799039e5     1.32986e8
47750           15000          -5800          1165.018358    1.034877e6     1.30732e8
47750           15000          -5700          1158.402431    1.093437e6     1.28478e8
47750           15000          -5500          1145.170576    1.222376e6     1.2397e8
47750           15000          -5300          1131.93872     1.369041e6     1.19462e8
47750           15000          -5200          1125.322793    1.449844e6     1.17208e8
47750           15000          -5100          1118.706865    1.536116e6     1.14954e8
47750           15000          -5000          1112.090938    1.637163e6     1.127e8
47750           15000          -4900          1102.315432    1.796974e6     1.10446e8
47750           15000          -4800          1092.539926    1.963665e6     1.08192e8
47750           15000          -4700          1082.764421    2.147911e6     1.05938e8
47750           15000          -4200          1033.886892    3.408942e6     9.4668e7
47750           15000          -3800          985.916797     5.449145e6     8.5652e7
47750           15000          -3200          900.659545     1.258482e7     7.2128e7
47750           15000          -21500         1299.889244    2.472347e5     4.8461e8
47750           15000          -20500         1299.850659    2.519054e5     4.6207e8
47750           15000          -20000         1299.831367    2.582515e5     4.508e8
47750           15000          -19800         1299.804611    2.635137e5     4.46292e8
47750           15000          -17000         1299.222528    2.831839e5     3.8318e8
47750           15000          -21000         1299.869952    2.495897e5     4.7334e8
47750           15000          -19600         1299.777855    2.647021e5     4.41784e8
47750           15000          -16800         1299.154271    2.846076e5     3.78672e8
47750           15000          -28000         1300.005505    2.120571e5     6.3112e8
47750           15000          -27000         1300.011767    2.160057e5     6.0858e8
47750           15000          -12800         1294.428363    3.314457e5     2.88512e8
47750           15000          -11200         1287.937777    3.653052e5     2.52448e8
47750           15000          -10800         1285.597025    3.764307e5     2.43432e8
47750           15000          -9600          1276.278197    4.177195e5     2.16384e8
47750           15000          -9400          1273.959534    4.274568e5     2.11876e8
47750           15000          -8600          1261.952687    4.74336e5      1.93844e8
47750           15000          -8400          1258.267927    4.898098e5     1.89336e8
47750           15000          -5600          1151.786503    1.155844e6     1.26224e8
47750           15000          -5400          1138.554648    1.293334e6     1.21716e8
47750           15000          -4600          1072.988915    2.351678e6     1.03684e8
47750           15000          -23000         1299.947121    2.399304e5     5.1842e8
47750           15000          -22000         1299.908536    2.448401e5     4.9588e8
47750           15000          -16400         1299.017758    2.874452e5     3.69656e8
47750           15000          -7700          1242.287666    5.558443e5     1.73558e8
47750           15000          -7500          1236.547173    5.822613e5     1.6905e8
47750           15000          -6500          1200.223077    7.743926e5     1.4651e8
47750           15000          -6200          1187.039359    8.617268e5     1.39748e8
47750           15000          -19400         1299.7511      2.658856e5     4.37276e8
47750           15000          -19200         1299.724344    2.670641e5     4.32768e8
47750           15000          -19000         1299.697588    2.682374e5     4.2826e8
47750           15000          -18800         1299.670833    2.694051e5     4.23752e8
47750           15000          -18600         1299.644077    2.705673e5     4.19244e8
47750           15000          -18200         1299.590566    2.728744e5     4.10228e8
47750           15000          -18000         1299.56381     2.750274e5     4.0572e8
47750           15000          -17800         1299.495553    2.774672e5     4.01212e8
47750           15000          -17600         1299.427297    2.788984e5     3.96704e8
